Problem Number,Question,Difficulty,Company
2644,Find the Maximum Divisibility Score,Easy,DE Shaw
2800,Shortest String That Contains Three Strings,Medium,DE Shaw
2920,Maximum Points After Collecting Coins From All Nodes,Hard,DE Shaw
2984,Find Peak Calling Hours for Each City,Medium,DE Shaw
3077,Maximum Strength of K Disjoint Subarrays,Hard,DE Shaw
3082,Find the Sum of the Power of All Subsequences,Hard,DE Shaw
3085,Minimum Deletions to Make String K-Special,Medium,DE Shaw
3209,Number of Subarrays With AND Value of K,Hard,DE Shaw
1915,Number of Wonderful Substrings,Medium,DE Shaw
121,Best Time to Buy and Sell Stock,Easy,DE Shaw
239,Sliding Window Maximum,Hard,DE Shaw
380,Insert Delete GetRandom O(1),Medium,DE Shaw
402,Remove K Digits,Medium,DE Shaw
2742,Painting the Walls,Hard,DE Shaw
2972,Count the Number of Incremovable Subarrays II,Hard,DE Shaw
4,Median of Two Sorted Arrays,Hard,DE Shaw
128,Longest Consecutive Sequence,Medium,DE Shaw
198,House Robber,Medium,DE Shaw
440,K-th Smallest in Lexicographical Order,Hard,DE Shaw
871,Minimum Number of Refueling Stops,Hard,DE Shaw
31,Next Permutation,Medium,DE Shaw
42,Trapping Rain Water,Hard,DE Shaw
45,Jump Game II,Medium,DE Shaw
48,Rotate Image,Medium,DE Shaw
54,Spiral Matrix,Medium,DE Shaw
56,Merge Intervals,Medium,DE Shaw
75,Sort Colors,Medium,DE Shaw
84,Largest Rectangle in Histogram,Hard,DE Shaw
85,Maximal Rectangle,Hard,DE Shaw
122,Best Time to Buy and Sell Stock II,Medium,DE Shaw
155,Min Stack,Medium,DE Shaw
169,Majority Element,Easy,DE Shaw
221,Maximal Square,Medium,DE Shaw
329,Longest Increasing Path in a Matrix,Hard,DE Shaw
363,Max Sum of Rectangle No Larger Than K,Hard,DE Shaw
852,Peak Index in a Mountain Array,Medium,DE Shaw
863,All Nodes Distance K in Binary Tree,Medium,DE Shaw
875,Koko Eating Bananas,Medium,DE Shaw
1326,Minimum Number of Taps to Open to Water a Garden,Hard,DE Shaw
1584,Min Cost to Connect All Points,Medium,DE Shaw
1701,Average Waiting Time,Medium,DE Shaw
2719,Count of Integers,Hard,DE Shaw
2673,Make Costs of Paths Equal in a Binary Tree,Medium,DE Shaw
3016,Minimum Number of Pushes to Type Word II,Medium,DE Shaw
15,3Sum,Medium,DE Shaw
18,4Sum,Medium,DE Shaw
20,Valid Parentheses,Easy,DE Shaw
22,Generate Parentheses,Medium,DE Shaw
25,Reverse Nodes in k-Group,Hard,DE Shaw
39,Combination Sum,Medium,DE Shaw
41,First Missing Positive,Hard,DE Shaw
53,Maximum Subarray,Medium,DE Shaw
62,Unique Paths,Medium,DE Shaw
72,Edit Distance,Medium,DE Shaw
97,Interleaving String,Medium,DE Shaw
98,Validate Binary Search Tree,Medium,DE Shaw
104,Maximum Depth of Binary Tree,Easy,DE Shaw
120,Triangle,Medium,DE Shaw
146,LRU Cache,Medium,DE Shaw
152,Maximum Product Subarray,Medium,DE Shaw
168,Excel Sheet Column Title,Easy,DE Shaw
174,Dungeon Game,Hard,DE Shaw
200,Number of Islands,Medium,DE Shaw
209,Minimum Size Subarray Sum,Medium,DE Shaw
217,Contains Duplicate,Easy,DE Shaw
224,Basic Calculator,Hard,DE Shaw
225,Implement Stack using Queues,Easy,DE Shaw
227,Basic Calculator II,Medium,DE Shaw
336,Palindrome Pairs,Hard,DE Shaw
381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,DE Shaw
621,Task Scheduler,Medium,DE Shaw
632,Smallest Range Covering Elements from K Lists,Hard,DE Shaw
752,Open the Lock,Medium,DE Shaw
778,Swim in Rising Water,Hard,DE Shaw
787,Cheapest Flights Within K Stops,Medium,DE Shaw
907,Sum of Subarray Minimums,Medium,DE Shaw
943,Find the Shortest Superstring,Hard,DE Shaw
994,Rotting Oranges,Medium,DE Shaw
1000,Minimum Cost to Merge Stones,Hard,DE Shaw
1004,Max Consecutive Ones III,Medium,DE Shaw
1046,Last Stone Weight,Easy,DE Shaw
1139,Largest 1-Bordered Square,Medium,DE Shaw
1235,Maximum Profit in Job Scheduling,Hard,DE Shaw
1283,Find the Smallest Divisor Given a Threshold,Medium,DE Shaw
1383,Maximum Performance of a Team,Hard,DE Shaw
1423,Maximum Points You Can Obtain from Cards,Medium,DE Shaw
1569,Number of Ways to Reorder Array to Get Same BST,Hard,DE Shaw
1642,Furthest Building You Can Reach,Medium,DE Shaw
1884,Egg Drop With 2 Eggs and N Floors,Medium,DE Shaw
2551,Put Marbles in Bags,Hard,DE Shaw
2617,Minimum Number of Visited Cells in a Grid,Hard,DE Shaw
2680,Maximum OR,Medium,DE Shaw
1217,Minimum Cost to Move Chips to The Same Position,Easy,Morgan Stanley
1626,Best Team With No Conflicts,Medium,Morgan Stanley
1964,Find the Longest Valid Obstacle Course at Each Position,Hard,Morgan Stanley
2152,Minimum Number of Lines to Cover Points,Medium,Morgan Stanley
2395,Find Subarrays With Equal Sum,Easy,Morgan Stanley
2432,The Employee That Worked on the Longest Task,Easy,Morgan Stanley
2433,Find The Original Array of Prefix Xor,Medium,Morgan Stanley
121,Best Time to Buy and Sell Stock,Easy,Morgan Stanley
1,Two Sum,Easy,Morgan Stanley
56,Merge Intervals,Medium,Morgan Stanley
3,Longest Substring Without Repeating Characters,Medium,Morgan Stanley
20,Valid Parentheses,Easy,Morgan Stanley
5,Longest Palindromic Substring,Medium,Morgan Stanley
41,First Missing Positive,Hard,Morgan Stanley
53,Maximum Subarray,Medium,Morgan Stanley
55,Jump Game,Medium,Morgan Stanley
146,LRU Cache,Medium,Morgan Stanley
390,Elimination Game,Medium,Morgan Stanley
871,Minimum Number of Refueling Stops,Hard,Morgan Stanley
2444,Count Subarrays With Fixed Bounds,Hard,Morgan Stanley
7,Reverse Integer,Medium,Morgan Stanley
17,Letter Combinations of a Phone Number,Medium,Morgan Stanley
31,Next Permutation,Medium,Morgan Stanley
61,Rotate List,Medium,Morgan Stanley
69,Sqrt(x),Easy,Morgan Stanley
75,Sort Colors,Medium,Morgan Stanley
91,Decode Ways,Medium,Morgan Stanley
122,Best Time to Buy and Sell Stock II,Medium,Morgan Stanley
134,Gas Station,Medium,Morgan Stanley
138,Copy List with Random Pointer,Medium,Morgan Stanley
142,Linked List Cycle II,Medium,Morgan Stanley
151,Reverse Words in a String,Medium,Morgan Stanley
198,House Robber,Medium,Morgan Stanley
206,Reverse Linked List,Easy,Morgan Stanley
236,Lowest Common Ancestor of a Binary Tree,Medium,Morgan Stanley
344,Reverse String,Easy,Morgan Stanley
387,First Unique Character in a String,Easy,Morgan Stanley
560,Subarray Sum Equals K,Medium,Morgan Stanley
572,Subtree of Another Tree,Easy,Morgan Stanley
696,Count Binary Substrings,Easy,Morgan Stanley
780,Reaching Points,Hard,Morgan Stanley
796,Rotate String,Easy,Morgan Stanley
1254,Number of Closed Islands,Medium,Morgan Stanley
2289,Steps to Make Array Non-decreasing,Medium,Morgan Stanley
2719,Count of Integers,Medium,Morgan Stanley
20,Valid Parentheses,Easy,Millenium
50,"Pow(x, n)",Medium,Millenium
991,Broken Calculator,Medium,Millenium
1010,Pairs of Songs With Total Durations Divisible by 60,Medium,Millenium
1283,Find the Smallest Divisor Given a Threshold,Medium,Millenium
2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,Millenium
2164,Sort Even and Odd Indices Independently,Medium,Millenium
2833,Furthest Point From Origin,Easy,Barclays
2961,Double Modular Exponentiation,Medium,Barclays
3080,Mark Elements on Array by Performing Queries,Medium,Barclays
3070,Count Submatrices with Top-Left Element and Sum Less Than k,Medium,Barclays
1,Two Sum,Easy,Barclays
2127,Maximum Employees to Be Invited to a Meeting,Hard,Barclays
15,3Sum,Medium,Barclays
46,Permutations,Medium,Barclays
205,Isomorphic Strings,Easy,Barclays
234,Palindrome Linked List,Easy,Barclays
871,Minimum Number of Refueling Stops,Hard,Barclays
53,Maximum Subarray,Medium,Barclays
88,Merge Sorted Array,Easy,Barclays
121,Best Time to Buy and Sell Stock,Easy,Barclays
373,Find K Pairs with Smallest Sums,Medium,Barclays
386,Lexicographical Numbers,Medium,Barclays
1426,Counting Elements,Easy,DRW
2098,Subsequence of Size K With the Largest Even Sum,Medium,DRW
121,Best Time to Buy and Sell Stock,Easy,DRW
316,Remove Duplicate Letters,Medium,DRW
1466,Reorder Routes to Make All Paths Lead to the City Zero,Medium,DRW
1615,Maximal Network Rank,Medium,DRW
2477,Minimum Fuel Cost to Report to the Capital,Medium,DRW
